SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head f49b2ed398b695c1fef404e86ee445596a91bbcf
unit codex_mid24_62p75_63_20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 251/4 63
t_domain 3/5 654734467/210000000
cache_entries 291
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 130 29186782081/10752000000 6102610203/2240000000 upper [-2.9264225894548217256129605451102029874388357940692790637279004783758363218985788e-55 +/- 2.86e-135]
trow 131 6102610203/2240000000 20998768477/7680000000 upper [-1.3199696249492601769820219980652371728663159191463922436159499436945023880799531e-55 +/- 2.66e-135]
trow 132 20998768477/7680000000 73760056903/26880000000 upper [-5.9323458274482396170344191699956471599349485037188229101169722101393879444313767e-56 +/- 9.05e-137]
trow 133 73760056903/26880000000 49349616091/17920000000 upper [-2.6558867256579140250993734570699218353314352524817307858048979506067439877402443e-56 +/- 4.36e-136]
trow 134 49349616091/17920000000 7428879137/2688000000 upper [-1.1838408047731055115114879749942463847423826879742905629501634358963838677191027e-56 +/- 4.14e-136]
trow 135 7428879137/2688000000 149106317207/53760000000 upper [-5.2482193929789102788350815167648665696846183789129305756324851981174193369851056e-57 +/- 1.59e-137]
trow 136 149106317207/53760000000 24939175279/8960000000 upper [-2.3085372970551779060499179476289801168814941716902570895798551862684724206878398e-57 +/- 1.66e-137]
trow 137 24939175279/8960000000 150163786141/53760000000 upper [-1.0020922959649355226928735462360143925712226897504091115876970604231934088965826e-57 +/- 2.80e-137]
trow 138 150163786141/53760000000 672734467/240000000 upper [-4.2369302752052543974720682986661428273168381449489832152354358477385659947245038e-58 +/- 1.58e-138]
trow 139 672734467/240000000 2016283401/716800000 upper [-1.6862129748601039298513726897423099063206123258891669013557602932871014976713007e-58 +/- 4.92e-138]
trow 140 2016283401/716800000 75874994771/26880000000 upper [-5.6589628040912202582789943363068366283005123920006840160626894898217892788863900e-59 +/- 3.43e-139]
