SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head c2f03caa5af73629f584b41c756dd4a43b243b23
unit mid_cover_08_201_4_101_2
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 201/4 101/2
t_domain 3/5 3143008627/1010000000
cache_entries 257
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 12 15367825881/12928000000 4961008627/4040000000 upper [-1.4537984468164706748286957763535782287009756736707348907206586358084314424890638e-15 +/- 6.46e-96]
trow 13 4961008627/4040000000 81913146659/64640000000 upper [-3.9253186961745941155182977425098600459468306180688329337860972409088669207566791e-16 +/- 4.02e-96]
trow 14 81913146659/64640000000 42225077643/32320000000 upper [-9.5476354568447500048292425823080860967474849971349302605160168792811014812853328e-17 +/- 2.06e-97]
trow 15 42225077643/32320000000 86987163913/64640000000 upper [-1.9835272976135571034465070980619909785918098529668586997283735531011627968971635e-17 +/- 8.32e-98]
trow 16 86987163913/64640000000 4476208627/3232000000 upper [-2.9660577103105256467209656448265943544238215278398242621067513138693128547304349e-18 +/- 1.39e-98]
trow 17 4476208627/3232000000 181585353707/129280000000 upper [-1.4145104477875483092696769739313586416145081742535113822801152730930259500440819e-17 +/- 3.57e-97]
trow 18 181585353707/129280000000 92061181167/64640000000 upper [-7.3548050072908471642211482323103974777458885317316833707226790640054007939848874e-18 +/- 4.04e-98]
trow 19 92061181167/64640000000 186659370961/129280000000 upper [-3.7857235661285313343331025654952737920237550723731647754687283695203171180551786e-18 +/- 3.43e-98]
trow 20 186659370961/129280000000 47299094897/32320000000 upper [-1.9290531520742686028884034539226815289522550059247754452414625106987413074720380e-18 +/- 7.70e-100]
trow 21 47299094897/32320000000 38346677643/25856000000 upper [-9.7310934077871187502924273081091995084179243510539515702348050428114825966250394e-19 +/- 2.13e-99]
