SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head bc5b6375cf9744e2b0e2cbfd033b86bdc9facfaf
unit codex-mid24-48p5-48p75-20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 97/2 195/4
t_domain 3/5 404407051/130000000
cache_entries 261
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 130 50132067273/16640000000 7737733969/2560000000 upper [-3.3524605426831018820022332617457539916965655063744029129038190630045790979210514e-52 +/- 3.47e-132]
trow 131 7737733969/2560000000 12614618581/4160000000 upper [-1.7040780755706281201303105851686571730580091851187046643979196848867633901908523e-52 +/- 2.65e-132]
trow 132 12614618581/4160000000 101243355699/33280000000 upper [-8.5680451901757768462825565212096901716534068558261347514702551833060368888800097e-53 +/- 2.88e-133]
trow 133 101243355699/33280000000 406279051/133120000 upper [-4.2321953732143998629449497022077126837392799655397688820221093610335821234595951e-53 +/- 1.99e-133]
trow 134 406279051/133120000 101896169801/33280000000 upper [-2.0278358542222175086961487359994754978358362313592795207482276269142411624059095e-53 +/- 6.29e-134]
trow 135 101896169801/33280000000 25555644213/8320000000 upper [-9.1929905398684899819709151975078334760448504295999821279771157292474394064687500e-54 +/- 2.96e-134]
trow 136 25555644213/8320000000 102548983903/33280000000 upper [-3.7291445538245264285257149638732627896267745684053939356564621346813884712935837e-54 +/- 4.98e-134]
trow 137 102548983903/33280000000 51437695477/16640000000 upper [-1.1422970054747969188280156861056305441774016048153720594238676137657015094927669e-54 +/- 4.41e-134]
trow 138 51437695477/16640000000 20640359601/6656000000 upper [-2.2566393909199280566827587864340366464712517265797932821793477884172215094084965e-56 +/- 2.39e-136]
trow 139 20640359601/6656000000 206730003061/66560000000 upper [-1.2113280127538623325726509363845380190905596021340875231931606602605602451477714e-54 +/- 2.57e-134]
trow 140 206730003061/66560000000 404407051/130000000 upper [-6.5853517887112050098016947118230329289798851405932843266879403403463009471334449e-55 +/- 1.14e-135]
t_rows 141
SCALED BULK SIGN ROW PASS
